,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
152,arachidonate,arachidonate,0.3007,0.0000000000 
153,L-Arginine,arginine,0.7068,0.0000000000 
154,N-(L-Arginino)succinate,argininosuccinate,0.5274,0.0020156109 
155,arginylleucine,arginylleucine,2.9131,0.0000033154 
156,arginylmethionine,arginylmethionine,1.5131,0.1749228662 
157,arginylphenylalanine,arginylphenylalanine,2.7191,0.0000038047 
158,arginyltyrosine,arginyltyrosine,1.5963,0.0137025666 
159,arginylvaline,arginylvaline,1.3176,0.0015194044 
160,Vitamin B12,ascorbate,1.114,0.3432564937 
161,L-Asparagine,asparagine,0.3806,0.0000000000 
162,L-aspartate,aspartate,0.4662,0.0000000000 
164,aspartylleucine,aspartylleucine,2.7314,0.0000000000 
165,aspartylphenylalanine,aspartylphenylalanine,1.8319,0.0000003074 
166,aspartyltryptophan,aspartyltryptophan,0.819,0.0347824717 
167,aspartylvaline,aspartylvaline,2.0344,0.0011504351 
168,atenolol,atenolol,0.4168,0.0235014156 
169,azelate,azelate,1.1552,0.0049811931 
170,benzoate,benzoate,0.8698,0.0573438332 
171,beta-Alanine,beta-alanine,4.3483,0.0000000000 
172,Hydroxypyruvate,beta-hydroxypyruvate,1.0677,0.3859460708 
173,Betaine,betaine,1.0044,0.9667453403 
174,beta-Tocopherol,beta-tocopherol,2.8951,0.0000000000 
177,butyrylcarnitine,butyrylcarnitine,1.4682,0.0000209979 
178,Decanoic acid,caprate,0.8274,0.0000017141 
179,Hexanoic acid,caproate,0.8309,0.0010085072 
181,carnitine,carnitine,1.2753,0.0000607108 
182,catechol sulfate,catechol sulfate,0.7833,0.4033256110 
183,celecoxib,celecoxib,0.6947,
184,C-glycosyltryptophan,C-glycosyltryptophan,0.7998,0.0092815514 
185,myo-Inositol,chiro-inositol,0.4479,0.0079579550 
186,Cholic acid,cholate,0.8479,0.4596982623 
187,Cholesterol,cholesterol,1.1787,0.0003492539 
188,Choline,choline,0.6637,0.0000000000 
189,choline phosphate,choline phosphate,1.2972,0.0000015804 
190,cinnamoylglycine,cinnamoylglycine,0.6859,0.0134515806 
191,cis-Aconitate,cis-aconitate,1.8767,0.0000017711 
192,cis-vaccenate,cis-vaccenate,1.6327,0.0000000036 
193,citalopram,citalopram,1.6276,0.2882671002 
194,Citramalate,citramalate,0.334,0.0000000001 
195,Citrate,citrate,3.3276,0.0000000145 
196,L-Citrulline,citrulline,1.3793,0.0000001178 
197,codeine,codeine,1.826,
198,Cortisol,cortisol,0.2798,0.3241876705 
199,Cortisone,cortisone,0.3584,0.0000000542 
200,Creatine,creatine,2.1089,0.0000000029 
201,Creatinine,creatinine,0.3273,0.0000000001 
202,L-Cysteine,cysteine,1.4831,0.0043160037 
204,cysteinylglycine,cysteinylglycine,10.3624,
