,DCIS_pool.aliquot_no vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs Basal_pool.aliquot_yes,HER2_pool.aliquot_no vs Basal_pool.aliquot_yes,HER2_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumA_pool.aliquot_no vs Basal_pool.aliquot_yes,LumA_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumB_pool.aliquot_no vs Basal_pool.aliquot_yes,LumB_pool.aliquot_yes vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_no vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_no,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumA_pool.aliquot_no vs DCIS_pool.aliquot_no,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumB_pool.aliquot_no vs DCIS_pool.aliquot_no,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_no,LumA_pool.aliquot_yes vs HER2_pool.aliquot_no,LumB_pool.aliquot_no vs HER2_pool.aliquot_no,LumB_pool.aliquot_yes vs HER2_pool.aliquot_no,Reduction_pool.aliquot_no vs HER2_pool.aliquot_no,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumB_pool.aliquot_no vs HER2_pool.aliquot_yes,LumB_pool.aliquot_yes vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_no vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_no,LumB_pool.aliquot_yes vs LumA_pool.aliquot_no,Reduction_pool.aliquot_no vs LumA_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_no vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total Pool2_pool aliquot_yes vs Total.Pool1_pool.aliquot.ye
Pelargonic acid,0.757235297,0.946349162,0.898723483,1.009302326,0.862722684,0.862782961,0.919975862,0.971814511,0.765115351,0.879922171,0.755587828,0.753901499,1.249742539,1.186848377,1.332878076,1.139305956,1.139385558,1.21491413,1.283371912,1.010406348,1.162019487,0.997824363,0.995597409,0.949674305,1.066522132,0.911632533,0.911696228,0.972131534,1.026909041,0.808491603,0.929807101,0.798423941,0.796642011,1.123039894,0.959942296,0.960009366,1.023647295,1.081327604,0.851335661,0.979079981,0.840734488,0.838858129,0.854771323,0.854831045,0.911496822,0.962857695,0.758063596,0.87181229,0.748623884,0.746953098,1.000069869,1.066363362,1.126450629,0.886861288,1.019936287,0.875817735,0.873863077,1.066288862,1.126371931,0.886799328,1.019865031,0.875756548,0.873802026,1.056347835,0.831668941,0.956462237,0.821312665,0.819479652,0.787305954,0.905442512,0.777502105,0.775766868,1.15005165,0.987547599,0.985343581,0.858698476,0.856782025,0.99776819
Pentadecylic acid,0.804917791,1.284276223,0.989681901,0.984564794,0.895965546,0.775428942,0.962915241,0.870142943,0.79544997,0.850984274,0.89951777,0.818770552,1.595537132,1.229544075,1.223186772,1.113114354,0.963364149,1.19629017,1.08103331,0.988237531,1.05723129,1.117527504,1.017210157,0.770614516,0.766630088,0.6976424,0.603786731,0.749772692,0.677535664,0.619376078,0.662617791,0.700408334,0.637534619,0.994829544,0.90530659,0.78351331,0.97295428,0.879214769,0.803743071,0.859856357,0.908895847,0.827306786,0.910011765,0.787585486,0.978011042,0.883784336,0.807920387,0.864325313,0.913619677,0.831606571,0.865467367,1.074723514,0.971179022,0.887813123,0.949795757,1.003964687,0.91384156,1.241783983,1.122144011,1.025819294,1.097436822,1.160026046,1.055893722,0.903654763,0.826085138,0.883758236,0.934160902,0.850303867,0.914160111,0.977982159,1.033758621,0.940960975,1.069814956,1.130828844,1.029317472,1.057032188,0.962145338,0.910232771
Phosphoric acid,0.828102287,1.442526663,1.516513305,1.022161168,1.187166403,0.948066487,1.110088422,1.174826988,0.650550615,0.970883128,0.848255684,0.717154859,1.741966767,1.831311578,1.23434168,1.43359875,1.144866404,1.340520899,1.418697916,0.785592101,1.17241933,1.024336845,0.866022073,1.051289619,0.708590832,0.822977096,0.657226318,0.769544474,0.814423066,0.450979959,0.673043454,0.588034666,0.497151892,0.674020573,0.782826236,0.625161997,0.73200045,0.774689536,0.428977849,0.640207458,0.559346022,0.472897176,1.161427807,0.927511744,1.08602093,1.149355919,0.636446224,0.949833704,0.829864909,0.701606441,0.798596123,0.935073987,0.989605994,0.547986039,0.817815536,0.714521302,0.604089584,1.170897228,1.239182066,0.686186701,1.024066499,0.894721726,0.756439415,1.058318387,0.586034952,0.874599815,0.76413344,0.646033996,0.553741633,0.826405196,0.722026045,0.610434444,1.492402137,1.303904207,1.102381341,0.873694948,0.738662398,0.845446571
Pinitol,1.052265302,1.28124385,1.983369415,1.288329069,1.163071288,1.051236633,1.136351112,1.051367841,1.638811258,1.219441711,1.009137684,1.176441645,1.217605339,1.884856805,1.22433864,1.105302328,0.999022424,1.079909325,0.999147115,1.557412617,1.15887287,0.959014501,1.118008589,1.548003072,1.005529954,0.907767314,0.820481311,0.886912442,0.820583717,1.279078341,0.951763953,0.787623437,0.918202765,0.649565865,0.58641183,0.530025635,0.572939717,0.530091789,0.826276358,0.614833375,0.50879966,0.593153064,0.90277501,0.815969039,0.88203483,0.816070883,1.272043996,0.946529687,0.783291869,0.913153071,0.903845399,0.977026192,0.903958211,1.40903767,1.048466868,0.867649038,1.011495733,1.080966051,1.000124813,1.558936595,1.160006865,0.959952928,1.119102596,0.925213897,1.442169802,1.073120533,0.888050949,1.035280058,1.558742044,1.159862099,0.959833128,1.118962935,0.744101375,0.615774196,0.717862804,0.82754073,0.964737908,1.165789034
Proline,1.07810955,1.127482242,1.493133386,1.144246251,1.193836862,0.595737964,1.075207577,0.53581689,0.558017364,0.691194949,0.635413237,0.530426204,1.045795616,1.384955161,1.061345065,1.107342813,0.552576465,0.997308276,0.496996702,0.51758874,0.641117546,0.589377246,0.491996573,1.324307675,1.014868535,1.058852032,0.528379022,0.953635931,0.475233108,0.494923417,0.61304287,0.563568288,0.470451936,0.766338936,0.799551382,0.398985094,0.720101491,0.358854001,0.373722381,0.462915742,0.425556915,0.355243683,1.043339107,0.520637899,0.939664496,0.46827061,0.487672442,0.604061362,0.555311618,0.463559486,0.499011199,0.900631913,0.448819187,0.46741509,0.578969347,0.532244612,0.444303757,1.804833068,0.899417064,0.936682565,1.160233174,1.066598531,0.890368309,0.49833809,0.518985706,0.642847915,0.590967968,0.493324466,1.041432948,1.289983502,1.18587758,0.989939312,1.23866208,1.138697966,0.950555015,0.919296702,0.76740463,0.834773613
Ribitol,0.891162357,1.211043281,1.013426847,1.100404692,0.957882839,0.925614468,0.892441183,0.868818163,0.879123397,0.891499303,0.919776979,0.865688662,1.358947976,1.13719665,1.234797098,1.074869054,1.038659747,1.001435009,0.97492691,0.986490722,1.000378097,1.032109325,0.971415203,0.836821328,0.908641919,0.790956734,0.764311633,0.736919313,0.717412975,0.72592236,0.73614157,0.759491418,0.714828838,1.085825479,0.945191892,0.913351044,0.880617269,0.85730723,0.86747593,0.879687868,0.907590895,0.854219192,0.870482329,0.841158235,0.811011793,0.789544219,0.798909168,0.810155854,0.835853378,0.786700264,0.966312821,0.931680938,0.907019238,0.917777583,0.930697645,0.960218663,0.903752136,0.964160796,0.93863935,0.949772748,0.963143223,0.99369339,0.935258352,0.973529886,0.985077128,0.998944603,1.030630362,0.970023211,1.011861209,1.026105738,1.058653027,0.996397979,1.014077553,1.046243317,0.984718033,1.031719235,0.971048053,0.941194096
Salicylic acid,0.842895442,1.598748883,0.879356568,0.868632708,2.049034464,0.457551385,0.920107239,0.796246649,0.855942806,0.75746202,1.149112728,0.919794459,1.896734521,1.043256997,1.030534351,2.430947376,0.542832909,1.091603053,0.944656489,1.01547922,0.898642918,1.363292136,1.091231976,0.550027949,0.543320291,1.281648723,0.286193404,0.575517049,0.4980436,0.535382895,0.473784237,0.718757486,0.575321409,0.987804878,2.330151997,0.520325203,1.046341463,0.905487805,0.973373984,0.861382114,1.306765389,1.045985772,2.358919306,0.526748971,1.059259259,0.916666667,0.985390947,0.872016461,1.322898295,1.058899177,0.223300971,0.449044296,0.388596025,0.417729824,0.369667779,0.56080693,0.448891649,2.0109375,1.740234375,1.870703125,1.65546875,2.511439732,2.010253906,0.865384615,0.93026418,0.823232323,1.248889999,0.999660062,1.074971942,0.951290685,1.443161776,1.155162738,0.884944665,1.342511112,1.074598037,1.517056563,1.214310996,0.80043884
Serine,2.22280285,0.908254157,1.115795724,0.854513064,1.026851183,0.482779097,0.871199525,0.582541568,0.710332542,0.661713183,0.780751612,0.695813539,0.408607608,0.501976918,0.384430434,0.461962329,0.217193845,0.39193738,0.26207523,0.319566147,0.29769315,0.351246451,0.313034302,1.228506048,0.940830337,1.130576915,0.531546257,0.959202354,0.641386074,0.782085649,0.728555083,0.859617989,0.766100033,0.76583289,0.920285999,0.432676956,0.780787653,0.522086216,0.636615221,0.593041511,0.699726298,0.62360298,1.201679911,0.564975678,1.01952745,0.681723419,0.831271716,0.774374566,0.913680135,0.814280751,0.470154883,0.848418485,0.567308659,0.691758021,0.644410012,0.760335699,0.677618676,1.804551046,1.206642066,1.471340713,1.370633456,1.6172026,1.441266913,0.668666076,0.81535001,0.759542635,0.896180025,0.79868448,1.219367992,1.135907238,1.340250473,1.194444444,0.931554088,1.099135357,0.979560274,1.179894299,1.05153344,0.891209866
Serine,1.318208455,1.300034772,1.821411066,2.112447057,0.681949634,0.65239765,1.220112359,0.833199972,0.734406931,0.860029228,0.988364904,0.857138069,0.986213347,1.381732198,1.602513661,0.517330648,0.494912354,0.925583776,0.632069965,0.557125034,0.652422782,0.749778914,0.650229534,1.401047961,1.624915812,0.524562611,0.501830923,0.938522865,0.640905912,0.564913298,0.66154325,0.76026036,0.659319341,1.159786001,0.374407319,0.358182544,0.669872047,0.457447518,0.40320768,0.472177448,0.542636927,0.470590129,0.322824485,0.30883503,0.577582456,0.394424073,0.347656964,0.407124631,0.467876769,0.405756001,0.956665445,1.789153185,1.221791068,1.076922539,1.261133059,1.449322436,1.256893511,1.870197354,1.277135151,1.125704439,1.318259236,1.514973121,1.313827647,0.682887904,0.601917459,0.704877073,0.810060563,0.702507489,0.881429376,1.032200261,1.186227722,1.028730315,1.171052712,1.345800077,1.167115986,1.149222459,0.996638302,0.867228354
Shikimic acid,0.900409028,1.032822931,0.956746053,0.862853661,0.97722655,0.081964607,0.96931758,1.233442831,0.996068666,0.820198421,0.282849422,0.226475575,1.147059723,1.062568258,0.95829077,1.085314029,0.091030415,1.076530276,1.369869462,1.106240203,0.910917589,0.31413437,0.251525215,0.926340832,0.835432324,0.946170463,0.079359787,0.938512838,1.194244235,0.964413779,0.79413266,0.273860518,0.219278221,0.901862786,1.021406409,0.085670181,1.013139879,1.289206083,1.041100366,0.857279127,0.295636885,0.236714407,1.132551897,0.094992478,1.123385834,1.429492493,1.154388874,0.95056492,0.327806945,0.262472752,0.083874724,0.991906717,1.262187188,1.019281215,0.839312461,0.289440992,0.231753399,11.82605042,15.04848093,12.15242405,10.00673885,3.450872657,2.763089851,1.272485775,1.027597855,0.846160679,0.291802634,0.233644349,0.807551546,0.66496671,0.22931701,0.183612543,0.823435622,0.283965787,0.22736944,0.344854873,0.27612291,0.800693079
Sorbitol,6.296802133,10.75197215,3.120416463,4.349110495,3.311907618,1.804653356,5.342135901,5.348348838,5.720287253,4.553856338,4.244499367,4.081456395,1.707528984,0.495555744,0.69068559,0.525966601,0.28659839,0.84838872,0.849375401,0.908443228,0.723201435,0.674072216,0.648179236,0.290218057,0.404494211,0.30802792,0.167843939,0.496851724,0.497429566,0.532022142,0.423536843,0.394764729,0.379600723,1.39375963,1.061367179,0.57833734,1.711994525,1.713985586,1.833180706,1.459374539,1.360234897,1.307984509,0.76151379,0.414947691,1.228328392,1.229756946,1.315277517,1.047077637,0.975946546,0.938457738,0.544898459,1.61300873,1.614884669,1.727188048,1.374994977,1.281587489,1.232358165,2.960200574,2.963643306,3.16974295,2.523396708,2.351974883,2.261629017,1.001163006,1.070786547,0.852441125,0.79453227,0.764012086,1.069542662,0.851450882,0.793609298,0.763124568,0.796088751,0.742008081,0.713505496,0.932067033,0.896263758,0.961587232
Stearic acid,0.694112905,0.936276354,0.885122722,1.045943749,0.828404268,0.744599558,0.922656342,0.762418131,0.760836145,0.797627544,0.841053445,0.967527321,1.34888193,1.275185515,1.506878408,1.19347193,1.072735506,1.329259744,1.098406507,1.096127359,1.149132279,1.211695444,1.393904816,0.945364814,1.117131437,0.884786062,0.795277542,0.985453,0.814308861,0.812619203,0.851914651,0.89829615,1.03337793,1.18169348,0.935920238,0.841238779,1.04240499,0.861369969,0.859582661,0.9011491,0.950211111,1.093099631,0.79201608,0.711892545,0.882128072,0.728928427,0.72741593,0.762591243,0.804109633,0.925028064,0.898835975,1.113775457,0.920345489,0.91843581,0.962848183,1.015269328,1.167941014,1.239130929,1.023930411,1.021805797,1.071216784,1.129537932,1.299392822,0.826329475,0.824614876,0.864490393,0.911556563,1.048632385,0.997925041,1.046181237,1.103139354,1.269024543,1.048356534,1.105433082,1.271663192,1.054443833,1.213006407,1.150375552
Succinic acid semialdehyde,1.342218429,0.688727698,1.740071746,2.506487144,0.831486783,0.346497258,2.175647529,0.63253212,0.874441758,1.007279666,0.436619687,0.251706727,0.51312639,1.296414732,1.867421196,0.619486937,0.25815266,1.620934031,0.471258706,0.651489906,0.750458826,0.325297043,0.187530376,2.526501767,3.639300629,1.207279431,0.503097609,3.158937176,0.918406682,1.26964802,1.462522372,0.633951107,0.365466248,1.440450459,0.477846264,0.199128145,1.250320589,0.363509218,0.502532013,0.578872491,0.250920508,0.144653074,0.331733911,0.13824019,0.868006658,0.252358015,0.348871431,0.401869073,0.174195861,0.10042211,0.416720103,2.616574999,0.760724202,1.051660442,1.211419937,0.525107188,0.302718855,6.278974733,1.825503968,2.523661407,2.907035027,1.260095646,0.72643209,0.29073281,0.401922529,0.462979252,0.200684937,0.115692788,1.38244641,1.592456154,0.690272751,0.397935092,1.151911671,0.499312484,0.287848476,0.433464212,0.249887629,0.576489643
Threonine,2.49646438,0.946789798,0.769129288,0.722075638,1.732706206,0.34828496,0.778891821,0.465259455,0.639489886,0.55798153,0.748649328,0.574758135,0.379252276,0.308087427,0.289239311,0.694064061,0.139511288,0.311997971,0.186367352,0.256158226,0.223508709,0.299883841,0.230228855,0.812354854,0.762656758,1.830085422,0.367858802,0.822666047,0.491407339,0.675429633,0.589340455,0.790723907,0.607059916,0.938822184,2.252815273,0.452830189,1.012692967,0.604917095,0.831446541,0.725471698,0.97337254,0.747284162,2.399618705,0.482338611,1.078684531,0.644336175,0.885627284,0.77274665,1.03680181,0.795980512,0.201006356,0.449523305,0.268516066,0.369070004,0.322028933,0.432069398,0.331711246,2.236363636,1.335858586,1.836111111,1.602083333,2.149531025,1.650252525,0.59733514,0.821025294,0.716378726,0.961172409,0.737917796,1.374480151,1.199291115,1.609100729,1.235349716,0.872541604,1.170697684,0.898775959,1.341709872,1.030066596,0.767726777
Threonine,1.268940025,1.251223817,1.660096282,1.767707882,0.72636379,0.641052538,1.16500383,0.808576709,0.655552133,0.817546302,0.911803709,0.79059097,0.986038578,1.30825433,1.393058654,0.572417747,0.505187421,0.918092114,0.637206403,0.516613961,0.644274975,0.718555401,0.623032574,1.326778039,1.412783116,0.580522669,0.512340422,0.931091475,0.646228675,0.523928752,0.653397331,0.728729502,0.631854157,1.064822506,0.43754317,0.38615383,0.701768833,0.487066153,0.394888019,0.492469209,0.549247486,0.476231999,0.41090714,0.362646195,0.659047709,0.457415344,0.370848679,0.462489482,0.515811304,0.447240734,0.882550241,1.603884782,1.11318422,0.902512132,1.125532844,1.255298957,1.088422882,1.81732972,1.261326742,1.022618419,1.27531872,1.422354105,1.233270167,0.69405498,0.562703844,0.701754176,0.782661555,0.678616628,0.810748226,1.011093064,1.127665067,0.977756299,1.24711104,1.390894275,1.205992522,1.11529305,0.967028984,0.867062683
trans-4-Hydroxyproline,1.766950291,1.81325571,2.901925661,1.475593372,0.854066473,1.099865652,0.91661442,0.777877295,0.795700851,0.897514554,1.154564647,0.646439767,1.026206407,1.642335766,0.835107461,0.483356254,0.622465531,0.518755069,0.440237226,0.450324412,0.50794556,0.653422257,0.365850568,1.600395159,0.813781181,0.471012703,0.606569523,0.505507533,0.428994814,0.438824401,0.494974068,0.636735702,0.35650778,0.508487654,0.294310252,0.379012346,0.315864198,0.268055556,0.274197531,0.309282407,0.397861552,0.222762346,0.578795276,0.745371775,0.621183612,0.527162367,0.539241275,0.608239757,0.782440928,0.438088012,1.28779865,1.073235455,0.910792449,0.931661499,1.050872013,1.351844011,0.756896316,0.833387622,0.707247557,0.723452769,0.816021987,1.049732434,0.5877443,0.848641782,0.86808677,0.979162595,1.259596862,0.705247215,1.022913069,1.153799655,1.48425035,0.831030512,1.12795475,1.451003409,0.812415579,1.286402144,0.72025547,0.559899152
Urea,2.23260543,2.982604788,3.060963476,1.34976571,2.000072562,1.421528981,2.207638488,5.771037936,2.785878426,3.046520958,1.637974196,0.942566917,1.335930097,1.371027516,0.604569752,0.895846859,0.636713036,0.988817127,2.584889321,1.247814947,1.364558608,0.733660401,0.422182489,1.026271898,0.452545948,0.670579143,0.476606551,0.740171308,1.934898636,0.934042095,1.021429647,0.549175741,0.316021392,0.440961064,0.65341275,0.464405731,0.721223401,1.88536648,0.910131221,0.995281708,0.535117197,0.307931448,1.481792393,1.053167206,1.635571619,4.275584934,2.063971847,2.257073901,1.213524824,0.698318908,0.710738705,1.103779198,2.885414283,1.392888678,1.523205216,0.818957386,0.471266361,1.5530028,4.059739908,1.959776032,2.143129685,1.15226226,0.663065565,2.614122723,1.261926915,1.37999087,0.741957619,0.426957096,0.482734381,0.527898273,0.283826621,0.163327105,1.093558473,0.587956093,0.338337419,0.537654006,0.309391247,0.575446743
Valine,0.879478922,1.09675537,1.191131236,1.198326394,0.788737488,0.21186392,0.85938323,0.375828927,0.594279569,0.510338912,0.688966121,0.910649298,1.247051342,1.354360185,1.362541345,0.89682364,0.240897098,0.977150456,0.427331364,0.675717807,0.580274181,0.783379912,1.035441868,1.086050061,1.092610464,0.719155346,0.19317336,0.783568746,0.342673432,0.541852436,0.465316994,0.628185774,0.83031214,1.006040608,0.662175136,0.177867823,0.721484925,0.315522686,0.498920313,0.428448937,0.578413276,0.76452474,0.658199212,0.176799845,0.717152885,0.313628181,0.495924626,0.425876384,0.574940287,0.759934274,0.26861145,1.08956813,0.476494313,0.75345673,0.647032656,0.873504976,1.154565761,4.056298163,1.773916611,2.805006007,2.408805195,3.25192756,4.298274561,0.437324018,0.691518694,0.593843228,0.801698354,1.05965449,1.581250206,1.357902159,1.833190772,2.423042062,0.858752241,1.159329981,1.532358416,1.350016833,1.784401067,1.321762088
Valine,0.548912404,0.842719248,0.606995991,1.036115556,0.68473604,0.578055369,0.655279685,0.5444519,0.559238803,0.584256439,0.998453911,1.491655053,1.535252697,1.105815767,1.887579054,1.247441368,1.053092197,1.193778243,0.991873925,1.018812472,1.064389209,1.81896766,2.717473757,0.720282576,1.229490792,0.812531625,0.685940626,0.777577688,0.64606558,0.663612234,0.693299032,1.184800172,1.770049818,1.706956177,1.128073414,0.95232156,1.079545326,0.896961279,0.92132207,0.962537559,1.644910223,2.457438063,0.66086841,0.557906274,0.632438806,0.525474111,0.539745591,0.563891195,0.963651115,1.439660899,0.844201759,0.956981445,0.795126689,0.81672173,0.853257906,1.458158841,2.178438063,1.133593285,0.94186808,0.967448506,1.010727468,1.727263449,2.580470889,0.830869494,0.853435283,0.891613845,1.523706494,2.276363951,1.027159245,1.073109376,1.833869824,2.739737067,1.044735158,1.785380244,2.667295338,1.708930948,2.553082777,1.493964856
