,A2780 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_Untreated vs A2780 cell_Untreated,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_Untreated vs A2780 cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_Untreated vs A2780cisR cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_0.015 ?M DiRu-1
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
lipid alpha-CH2,1.05221525,0.951041486,1.380825951,1.200624313,1.086735013,0.534413894,0.543895339,0.509436735,0.903846894,1.312303686,1.141044394,1.03280675,0.507894078,0.516905014,0.484156388,1.451909271,1.262431062,1.142678872,0.561924903,0.571894441,0.535661948,0.869497211,0.787018097,0.387024805,0.393891307,0.36893624,0.905141601,0.445113337,0.453010432,0.424309861,0.491760998,0.500485705,0.468777328,1.017741762,0.953262519,0.93664479
unknown,1.052505585,0.958817932,0.923529116,0.79790431,0.753310897,0.838455265,0.855693172,0.772611508,0.910986076,0.877457687,0.758099835,0.715731021,0.796627854,0.813005826,0.734068796,0.963195499,0.832174997,0.785666258,0.874467652,0.892445941,0.805795847,0.863973096,0.815687219,0.907881788,0.926547043,0.836585977,0.944111828,1.050821828,1.072425805,0.968300958,1.113026865,1.135909723,1.025621043,1.020559125,0.92147016,0.902907179
Glu,1.102316894,1.078334519,1.109290649,1.145620598,1.125039871,1.225885117,1.214472759,1.16860805,0.978243665,1.006326452,1.039284261,1.020613833,1.112098638,1.101745574,1.060138021,1.028707354,1.062398151,1.043312489,1.136831935,1.126248616,1.083715702,1.032750613,1.014197561,1.105107231,1.094819252,1.053473273,0.982035302,1.070062042,1.060100316,1.020065502,1.089637042,1.079493083,1.038725898,0.990690516,0.95327697,0.962234881
Glu,1.05235126,0.931769746,0.739383754,0.62862962,0.610308616,0.907508647,0.865940745,0.857514973,0.885417048,0.702601671,0.597357217,0.579947627,0.862362864,0.822862838,0.814856223,0.793526252,0.674661978,0.654999391,0.973962345,0.92935057,0.920307809,0.850207509,0.825428761,1.22738516,1.171165501,1.159769833,0.970855647,1.44363011,1.377505478,1.364102082,1.486966796,1.418857152,1.405051396,0.954195586,0.944911077,0.990269806
Glu,1.117581097,1.114713928,0.617453834,0.45605044,0.449698879,0.663154701,0.570745568,0.617855,0.997434487,0.552491301,0.408069214,0.402385904,0.593383964,0.510697228,0.552850261,0.55391237,0.409118814,0.403420885,0.594910214,0.512010798,0.554272253,0.738598442,0.728311745,1.074015035,0.924353428,1.000649711,0.98607268,1.454125778,1.251496584,1.354795317,1.474663895,1.26917276,1.373930487,0.860652224,0.931690599,1.082540164
Gln,1.117581097,1.114713928,0.617453834,0.45605044,0.449698879,0.663154701,0.570745568,0.617855,0.997434487,0.552491301,0.408069214,0.402385904,0.593383964,0.510697228,0.552850261,0.55391237,0.409118814,0.403420885,0.594910214,0.512010798,0.554272253,0.738598442,0.728311745,1.074015035,0.924353428,1.000649711,0.98607268,1.454125778,1.251496584,1.354795317,1.474663895,1.26917276,1.373930487,0.860652224,0.931690599,1.082540164
Gln,1.022910347,0.713679891,0.5549968,0.654858763,0.934458333,0.964242905,0.8139829,0.711802047,0.697695446,0.542566415,0.640191748,0.913529064,0.942646545,0.795751947,0.69585966,0.77765509,0.917580516,1.309352195,1.351085993,1.140543414,0.997368786,1.179932503,1.683718415,1.73738462,1.466644312,1.282533604,1.426961636,1.472444073,1.242990009,1.08695506,1.031873623,0.871074581,0.761726898,0.844167892,0.738197858,0.874468059
GSH,1.081033358,1.190219943,3.170638058,3.986234437,3.923872415,2.525865168,2.905687874,3.282746642,1.10100205,2.932969676,3.687429631,3.629742214,2.336528423,2.687879936,3.036674694,2.663909369,3.349157825,3.296762449,2.122183536,2.441303299,2.758100854,1.257234148,1.237565545,0.796642544,0.91643632,1.035358367,0.984355656,0.633646919,0.728930503,0.823520717,0.643717456,0.74051538,0.836608915,1.15037331,1.299652366,1.129765751
unknown,0.98411634,1.00765522,0.792961289,0.886319374,0.999247162,0.948484586,1.137047663,1.151294309,1.023918798,0.805759703,0.900624589,1.015375034,0.963793149,1.155399638,1.169876226,0.786937113,0.87958595,0.991655819,0.941278889,1.128409441,1.142547854,1.11773347,1.260146208,1.196129746,1.433925815,1.451892198,1.127412072,1.070138614,1.282887068,1.29896101,0.949199179,1.137904321,1.1521617,1.198804577,1.213825007,1.012529507
unknown,1.01619635,1.082385132,0.794654275,0.897884248,0.885829951,0.930469633,1.027992833,1.18817406,1.065133852,0.781988909,0.883573582,0.871711408,0.915639613,1.011608469,1.169236694,0.734169614,0.829542297,0.818405505,0.859647463,0.94974774,1.097736863,1.129905516,1.11473628,1.170911253,1.293635315,1.495208793,0.986574775,1.036291297,1.144905744,1.32330427,1.05039306,1.160485522,1.34131168,1.104810729,1.276961674,1.1558194
unknown,1.03146786,0.984623254,0.980352376,1.054690298,0.547239389,0.52228792,0.540955513,0.893377442,0.954584522,0.950443939,1.022513971,0.530544295,0.506354042,0.524452127,0.866122423,0.995662424,1.071161273,0.555785562,0.530444429,0.549403552,0.907329213,1.075827758,0.558206827,0.532755296,0.551797013,0.911281968,0.518862637,0.495205011,0.512904607,0.84705192,0.954404838,0.988517136,1.632516702,1.035741958,1.710507571,1.651480427
