,A2780 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_Untreated vs A2780 cell_Untreated,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_Untreated vs A2780 cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_Untreated vs A2780cisR cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_0.015 ?M DiRu-1
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
UDP,0.886041517,1.085254188,1.371097676,1.26015632,1.116207526,0.912209551,0.801707377,0.830402328,1.224834466,1.547441796,1.422231686,1.259768876,1.029533644,0.904819201,0.937204761,1.263388513,1.161162366,1.02852174,0.840549211,0.738727743,0.765168508,0.919085739,0.814097745,0.665313323,0.584719376,0.605647827,0.885769097,0.723886026,0.636196767,0.658967712,0.817240101,0.718242225,0.743949766,0.878863169,0.910319703,1.0357923
UTP,0.886041517,1.085254188,1.371097676,1.26015632,1.116207526,0.912209551,0.801707377,0.830402328,1.224834466,1.547441796,1.422231686,1.259768876,1.029533644,0.904819201,0.937204761,1.263388513,1.161162366,1.02852174,0.840549211,0.738727743,0.765168508,0.919085739,0.814097745,0.665313323,0.584719376,0.605647827,0.885769097,0.723886026,0.636196767,0.658967712,0.817240101,0.718242225,0.743949766,0.878863169,0.910319703,1.0357923
Cyt,0.753184464,0.925554992,0.757512867,0.325608193,0.58320749,0.948055486,0.97814105,0.767495886,1.22885566,1.005746803,0.432308695,0.774322251,1.258729476,1.298673959,1.019001218,0.818441771,0.351797781,0.630116519,1.024310272,1.056815704,0.829227753,0.429838498,0.7698978,1.251537139,1.291253381,1.013178679,1.791132726,2.911645061,3.004043117,2.357114788,1.625588667,1.677175049,1.315991135,1.03173397,0.809547434,0.784647456
Urd,0.753184464,0.925554992,0.757512867,0.325608193,0.58320749,0.948055486,0.97814105,0.767495886,1.22885566,1.005746803,0.432308695,0.774322251,1.258729476,1.298673959,1.019001218,0.818441771,0.351797781,0.630116519,1.024310272,1.056815704,0.829227753,0.429838498,0.7698978,1.251537139,1.291253381,1.013178679,1.791132726,2.911645061,3.004043117,2.357114788,1.625588667,1.677175049,1.315991135,1.03173397,0.809547434,0.784647456
unknown,0.840474352,0.925519926,0.858153547,0.47458463,0.703203662,1.028538347,0.937689003,0.767705868,1.10118759,1.021034782,0.564662834,0.836674742,1.22375935,1.11566641,0.913419744,0.927212394,0.512776242,0.759793108,1.111308701,1.013148368,0.82948605,0.55302997,0.819438042,1.198548151,1.092682081,0.894601987,1.481724475,2.167239059,1.975809885,1.617637444,1.46264646,1.333452958,1.091726209,0.911671408,0.746404711,0.818721202
unknown,0.876834851,1.121840324,0.991191374,0.79242172,0.866122196,0.852662888,0.658853791,0.725104637,1.279420319,1.130419684,0.903729726,0.987782586,0.972432708,0.751400096,0.826956908,0.883540512,0.706358741,0.77205479,0.760057264,0.587297298,0.646352802,0.799463898,0.873819344,0.860240424,0.664708964,0.731548574,1.093006634,1.076021602,0.831443378,0.915048918,0.984460266,0.760693807,0.837185145,0.772701381,0.850400137,1.1005547
NADH,0.999647982,1.165279795,1.388017232,1.271992786,1.206450016,1.030259503,0.942080892,1.210288017,1.165690139,1.388506011,1.272440708,1.206874858,1.0306223,0.942412638,1.210714211,1.191145027,1.09157714,1.035330761,0.884130581,0.808458961,1.038624391,0.916409938,0.869189509,0.742252674,0.678724205,0.871954605,0.948472373,0.809957033,0.740633833,0.951489687,0.853959541,0.780870222,1.003181235,0.914411262,1.174740941,1.284696492
fumarate,1.051171538,1.100036058,0.494453195,0.608139873,0.485373502,0.472168397,0.481340967,0.554343789,1.046485771,0.470382975,0.57853533,0.461745286,0.449183011,0.457909056,0.527358065,0.449488171,0.552836308,0.441234175,0.429229927,0.437568354,0.50393238,1.229924044,0.981636901,0.954930419,0.973481356,1.121124899,0.798128068,0.77641414,0.791497134,0.911539948,0.972793931,0.991691892,1.142097346,1.019426479,1.174038314,1.151665508
Tyr,1.0239502,1.08956776,1.194813643,1.032098156,1.017989903,0.747150268,0.721718808,0.722556584,1.064082765,1.166866946,1.007957375,0.994179114,0.72967442,0.704837802,0.705655982,1.09659416,0.947254676,0.93430619,0.685730889,0.662390018,0.663158925,0.863815175,0.852007264,0.625327869,0.604042993,0.60474417,0.986330512,0.723913965,0.699273421,0.700085142,0.73394664,0.708964604,0.709787575,0.965962054,0.96708335,1.001160807
Tyr,0.950741016,0.849745454,1.07704974,0.920568242,0.812073462,0.639909751,0.70743772,0.685550963,0.893771742,1.132852925,0.96826394,0.854147921,0.67306421,0.744090881,0.721070146,1.267496914,1.083345887,0.955666734,0.753060517,0.832528985,0.806772146,0.85471284,0.753979535,0.594132032,0.656829201,0.636508174,0.882143686,0.69512473,0.768479389,0.744704121,0.787994905,0.871149906,0.84419821,1.105527333,1.071324452,0.969061931
unknown,1.29102028,0.889058583,1.392847061,1.193530878,0.710757972,1.203576968,1.231738389,1.059017252,0.688648038,1.078873107,0.924486545,0.550539742,0.932268057,0.954081363,0.820294823,1.56665386,1.342465953,0.799450098,1.353765647,1.385441198,1.191167008,0.856900166,0.510291468,0.864112796,0.884331398,0.760325582,0.595508658,1.008417118,1.032012168,0.887297742,1.693371043,1.732992717,1.48998294,1.023398105,0.87989159,0.859774496
unknown,0.961745557,0.519406471,0.659525387,0.299554898,0.594210907,0.584916832,0.764823469,0.667969171,0.54006641,0.685758704,0.31147001,0.617846271,0.608182515,0.795245129,0.694538348,1.269767368,0.576725388,1.144019068,1.126125423,1.472495073,1.286023968,0.454197676,0.900967451,0.886875385,1.15965736,1.012802818,1.983646102,1.952619819,2.553199675,2.229872301,0.984358963,1.287124589,1.124128089,1.307576442,1.141989997,0.873363851
Tyr,0.918616449,0.868501506,0.919188732,0.681573734,0.737228237,0.629191498,0.593604788,0.572156452,0.945445193,1.000622984,0.741956814,0.802541951,0.684933847,0.646194381,0.62284586,1.058361703,0.784769778,0.848850845,0.724456428,0.683481588,0.658785792,0.741494875,0.802042291,0.68450741,0.645792063,0.622458078,1.08165588,0.923145167,0.870932605,0.839463764,0.853455507,0.805184552,0.776091343,0.943440573,0.909351848,0.96386765
unknown,0.444372396,0.031509228,0.19283743,-0.132775315,-0.101900734,0.981271743,1.207912262,1.33642533,0.070907259,0.433954567,-0.298792895,-0.229313826,2.208219396,2.718243242,3.007444529,6.12003024,-4.213854846,-3.233996498,31.14236034,38.3351902,42.41377527,-0.688534971,-0.528428189,5.088595826,6.263889015,6.930321191,0.767467465,-7.390468223,-9.097415927,-10.06531473,-9.629682763,-11.85381314,-13.11497254,1.230966111,1.361931941,1.106392718
Phe,0.902081674,0.863800431,0.819836199,0.77630655,0.599253474,0.939164359,1.155315875,0.9625621,0.95756344,0.908827019,0.860572355,0.664300685,1.041107902,1.280722033,1.067045399,0.949103716,0.898710538,0.693740651,1.087246921,1.337480087,1.114333896,0.946904456,0.73094293,1.145551222,1.409203298,1.174090752,0.771928916,1.209785437,1.488221212,1.239925258,1.567223889,1.927925204,1.606268702,1.230153023,1.02491336,0.833159242
unknown,0.7884763,0.613153907,0.543421583,0.717279004,0.387790703,0.782388991,1.022318538,0.767988945,0.777644054,0.689204714,0.909702681,0.491822903,0.992279654,1.296574846,0.974016524,0.886272724,1.16981886,0.632452471,1.276007512,1.667311464,1.252522306,1.31993102,0.713609315,1.439745891,1.881262302,1.413247044,0.54064137,1.090773585,1.425273194,1.070697651,2.01755479,2.636263658,1.98042124,1.306662734,0.981594775,0.751222752
Phe,0.87907887,0.622647314,0.450002763,0.657326626,0.539822124,0.770531322,0.707350203,0.540322493,0.708295166,0.511902604,0.747744769,0.614077011,0.876521264,0.804649306,0.614646207,0.722724973,1.055696559,0.866978967,1.237508466,1.136036705,0.867782582,1.460716868,1.199597356,1.712281313,1.571879689,1.20070928,0.821238792,1.172219854,1.076101552,0.82200001,1.427380033,1.310339407,1.000926914,0.918003179,0.701233653,0.763868436
Ura,1.311949561,0.847695752,0.366257663,0.632579828,0.888810216,2.496032729,2.223340734,1.543596601,0.646134407,0.279170537,0.482167796,0.677472856,1.902537112,1.694684613,1.176567032,0.432062639,0.746234515,1.04850144,2.944491257,2.622805093,1.820932332,1.727144279,2.426734798,6.814963833,6.070427891,4.214510046,1.405056212,3.945798805,3.514719624,2.440160962,2.808285371,2.501479723,1.736699886,0.890749832,0.618420017,0.694269024
Ura,1.096618956,1.039321983,0.579910512,0.80126921,0.733906578,2.215175646,2.261238906,1.462145113,0.947751247,0.528816786,0.730672405,0.66924484,2.020004882,2.062009682,1.333321027,0.557970024,0.770953779,0.706139762,2.131366104,2.175686594,1.406825928,1.381711822,1.26555143,3.819857718,3.899289388,2.521328864,0.915930087,2.76458351,2.822071379,1.824786344,3.018334639,3.081099112,1.992276888,1.020794405,0.660058319,0.646612399
unknown,1.238307687,1.682749172,0.446414222,2.327450746,1.007802636,2.19278733,1.364528986,1.471204522,1.358910382,0.360503473,1.879541547,0.813854785,1.770793603,1.101930481,1.18807671,0.26528863,1.383123988,0.59890247,1.303098148,0.81089268,0.874286285,5.21365725,2.257550467,4.912001503,3.056643176,3.295604059,0.433007073,0.942141239,0.586276203,0.632109842,2.175810275,1.353964494,1.459814125,0.622280586,0.67092896,1.078177553
unknown,0.821091455,0.78632912,0.859273163,0.742982956,1.007630866,0.84726547,1.021311136,0.832701964,0.95766326,1.046501163,0.904872352,1.227184694,1.031877101,1.243845773,1.014140336,1.092765282,0.944875291,1.281436539,1.077494714,1.298834178,1.058973836,0.864664449,1.172654879,0.986025756,1.188575625,0.969077123,1.356196475,1.140356536,1.374609105,1.120755136,0.840849063,1.013576668,0.826395848,1.205420464,0.982811165,0.815326432
unknown,1.237072412,1.007183142,0.658888839,0.836122389,0.989501588,1.192422542,1.236626137,1.036030493,0.814166683,0.532619459,0.675887992,0.79987362,0.963906826,0.999639249,0.837485731,0.654189701,0.830159237,0.98244455,1.183918289,1.227806627,1.028641614,1.268988546,1.501773183,1.809747673,1.876835764,1.572390413,1.183441086,1.42613397,1.479001344,1.239089524,1.205073904,1.24974649,1.047022567,1.037070412,0.868845109,0.837787964
unknown,1.257773163,0.959015408,1.278384814,1.254692171,2.130107814,2.940882528,3.477508848,3.438087216,0.762470878,1.016387415,0.997550439,1.693554829,2.338166066,2.764813999,2.733471597,1.333018014,1.308312839,2.221140346,3.066564421,3.626124065,3.585017705,0.981466736,1.66624931,2.300467352,2.720236356,2.689399294,1.697713482,2.34390761,2.77160321,2.740183844,1.380626139,1.632550627,1.614043756,1.182471185,1.169066491,0.98866383
unknown,1.291473495,1.766068606,0.596747282,2.547270933,3.109363957,5.63782052,4.370280683,3.897169382,1.367483431,0.462066999,1.972375695,2.407609579,4.365417132,3.383949187,3.017614684,0.337895867,1.442339739,1.760613345,3.192299835,2.47458149,2.206691953,4.268592432,5.210520516,9.447584745,7.323503287,6.530686436,1.220664797,2.213278708,1.715671712,1.529939093,1.813174848,1.405522397,1.253365459,0.775172013,0.691254602,0.891743498
unknown,1.498843658,1.608736928,0.703631293,1.644114406,1.770110798,1.255196061,0.995051635,1.486485349,1.073318701,0.469449425,1.096921882,1.180984279,0.837442954,0.663879538,0.991754771,0.437381203,1.021990841,1.100310913,0.780236992,0.618529741,0.924007725,2.336613539,2.515679468,1.783883225,1.41416626,2.1125913,1.076634808,0.763448125,0.605220434,0.90412525,0.709105929,0.562140876,0.839769664,0.792745983,1.184265467,1.493877601
UDP,1.16808817,1.238751246,1.27245364,1.730408439,1.579914519,0.662444361,0.66546294,0.710683946,1.060494642,1.089347253,1.481402246,1.352564437,0.567118457,0.569702662,0.608416354,1.027206749,1.396897435,1.275409025,0.534767866,0.537204658,0.573709975,1.359899005,1.241628354,0.520603926,0.522976177,0.558514608,0.913029828,0.382825434,0.384569865,0.410703005,0.419291267,0.421201864,0.449824302,1.004556728,1.072820583,1.067954207
UTP,1.16808817,1.238751246,1.27245364,1.730408439,1.579914519,0.662444361,0.66546294,0.710683946,1.060494642,1.089347253,1.481402246,1.352564437,0.567118457,0.569702662,0.608416354,1.027206749,1.396897435,1.275409025,0.534767866,0.537204658,0.573709975,1.359899005,1.241628354,0.520603926,0.522976177,0.558514608,0.913029828,0.382825434,0.384569865,0.410703005,0.419291267,0.421201864,0.449824302,1.004556728,1.072820583,1.067954207
UDP,1.143911714,1.226648332,0.779247146,0.958083268,0.649341409,0.612681942,0.678172319,0.733751489,1.072327801,0.681212664,0.837550011,0.567649934,0.535602473,0.592853724,0.641440664,0.63526532,0.781057817,0.529362322,0.49947644,0.552866132,0.598175915,1.229498592,0.833293279,0.786248555,0.870291695,0.941615883,0.677750495,0.639487154,0.707842775,0.765853568,0.943543617,1.044400233,1.129993372,1.106891312,1.197605868,1.081954348
unknown,0.792131868,2.841865956,1.06351953,1.273469833,2.056508483,1.420170279,0.174190155,0.551806169,3.587617251,1.342604145,1.607648782,2.596169356,1.792845782,0.21990045,0.696608975,0.374232827,0.44811045,0.72364725,0.499731621,0.061294289,0.194170372,1.197410858,1.933681916,1.335349506,0.163786512,0.518849117,1.614885904,1.115197425,0.136783888,0.43330918,0.690573509,0.08470189,0.268321854,0.122654415,0.388549301,3.167837876
unknown,0.834353982,0.941769474,1.346284615,1.170577479,1.125548445,1.037796108,0.839379469,0.92812321,1.128740911,1.613565277,1.402974642,1.3490059,1.24383191,1.006023206,1.112385426,1.429526706,1.242955427,1.195142204,1.101964054,0.89127912,0.985509974,0.869487378,0.836040487,0.770859368,0.623478468,0.689395986,0.961532632,0.886567635,0.717064426,0.792876359,0.922035931,0.745751524,0.824596412,0.808809613,0.894321344,1.105725413
NADH,0.65240114,1.112129036,1.579874536,0.85864508,1.348825402,2.293494293,1.89168897,1.897481919,1.70467059,2.421630557,1.316130562,2.06747861,3.515466409,2.899579497,2.908458925,1.420585638,0.77207325,1.212831747,2.062255564,1.700961766,1.706170648,0.54348941,0.853754758,1.451693942,1.19736658,1.201033294,1.570876529,2.671062058,2.203109311,2.209855928,1.700364102,1.40247134,1.406766151,0.824806486,0.827332304,1.003062316
NADH,0.667830263,0.875118677,1.035363556,0.798552433,0.95766645,1.346324997,1.156839163,1.316769977,1.310390866,1.550339379,1.195741608,1.433996784,2.015968832,1.732235309,1.971713547,1.183112168,0.912507588,1.094327518,1.538448477,1.321922607,1.504675893,0.771277324,0.924956692,1.300340338,1.117326524,1.271794791,1.199253061,1.685956915,1.448670263,1.648946171,1.405839159,1.207977123,1.374977663,0.859256989,0.978047634,1.138248098
AMP,0.941744853,1.024243196,1.252198002,1.398050344,1.177157124,1.202059158,1.007569487,1.354772622,1.087601586,1.329657389,1.484531973,1.249974577,1.27641702,1.069896463,1.438577145,1.222559258,1.364959367,1.149294552,1.17360717,0.983720947,1.322706001,1.11647706,0.940072674,0.959959333,0.804640708,1.081915655,0.841999095,0.859811067,0.72069614,0.969044232,1.021154384,0.855934578,1.150885123,0.838202912,1.127043218,1.34459473
unknown,0.02100877,1.447161344,1.131277508,0.439869037,0.347944597,1.132770508,1.02996997,1.48700765,68.88367681,53.84786885,20.93740047,16.56187354,53.91893443,49.02571429,70.78032787,0.781721757,0.303953004,0.240432484,0.782753432,0.711717442,1.027534115,0.388825053,0.307567855,1.001319747,0.910448553,1.314449938,0.791018616,2.575244931,2.341537784,3.380569043,3.255605974,2.960155092,4.273690879,0.909248575,1.312717483,1.44373884
unknown,1.090415792,1.476070631,2.303001988,2.627138487,3.330304709,2.375062688,2.301115876,2.856343621,1.353676865,2.1120402,2.409299742,3.054160379,2.178125725,2.110310482,2.619499498,1.560224788,1.779818954,2.256196037,1.609044065,1.558946996,1.935099554,1.14074521,1.44607114,1.031289899,0.99918102,1.240269716,1.267654799,0.904049292,0.875902008,1.087245166,0.713166781,0.690962563,0.857682366,0.968865322,1.202639255,1.241286304
NADH,1.054958173,1.18403994,0.750087601,1.053308356,0.957539191,1.057677001,1.04272264,1.134723307,1.122357238,0.711011697,0.99843613,0.907656072,1.00257719,0.988401879,1.07560976,0.633498563,0.889588535,0.808705145,0.893278144,0.880648199,0.958348843,1.404247123,1.276569817,1.410071303,1.390134485,1.512787714,0.909077751,1.004147546,0.989950032,1.077294508,1.104578288,1.088960797,1.185041111,0.985861128,1.072844834,1.088231196
unknown,1.391132668,1.24510608,0.129293845,0.681551133,0.224961695,0.299604835,0.531078444,0.496055858,0.895030437,0.09294142,0.489925331,0.161711173,0.21536755,0.381759739,0.356584149,0.10384163,0.547383989,0.18067673,0.240625951,0.426532689,0.398404494,5.271334697,1.739925787,2.317239728,4.10753074,3.836654847,0.3300731,0.439592601,0.77922025,0.727833664,1.331803773,2.36075054,2.205068099,1.772596375,1.655700444,0.934053837
AMP,0.721187397,0.826139583,1.241622522,1.146658962,1.130681775,1.285775607,1.28981758,1.49208747,1.145526927,1.721636467,1.589959789,1.567805788,1.782859228,1.788463838,2.068931703,1.502920993,1.387972427,1.368632854,1.556366059,1.561258663,1.806096089,0.923516561,0.910648571,1.035560795,1.038816192,1.201723908,0.986066314,1.121323471,1.124848471,1.301247816,1.137168419,1.14074323,1.319635199,1.003143607,1.16045713,1.15682054
unknown,1.073506852,1.039869524,1.333118511,0.906654524,1.133428451,1.315016659,0.958227445,0.997006721,0.96866594,1.241835121,0.844572648,1.055818553,1.224972767,0.892614186,0.928738107,1.28200556,0.871892582,1.089971794,1.264597749,0.921488151,0.958780596,0.680100469,0.850208321,0.986421423,0.718786392,0.747875536,1.250121651,1.450405445,1.056882659,1.099654493,1.160211443,0.84542385,0.879637988,0.728680841,0.758170412,1.040469804
unknown,0.987517514,1.093343143,1.202574252,0.842579953,1.446812905,1.637321095,1.739716343,0.983514741,1.107163293,1.217775113,0.85323039,1.465101008,1.658017272,1.761706824,0.995946631,1.099905606,0.770645482,1.323292614,1.497536346,1.591189696,0.899548095,0.700646926,1.203096526,1.361513513,1.446660229,0.817841176,1.717122392,1.943223416,2.06474927,1.167265774,1.131674379,1.20244735,0.679780183,1.062538282,0.600685317,0.565330518
