,HCvsNC,NTvsNC,HTvsNC,HCvsNT,HCvsHT,HTvsNT
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
D-Glucose,0.516170223,8.25258178,4.195250884,0.062546514,0.123036795,0.508356172
sn-glycero-3-phosphocholine,0.39023542,3.037158312,1.810357499,0.12848702,0.215557104,0.59606952
Phosphorylcholine,0.686002134,7.486589061,3.238814493,0.091630799,0.211806553,0.432615503
unknown,0.955405323,11.7139688,7.417687072,0.081561198,0.128800974,0.633234321
Choline,0.935382868,19.90605054,9.335096029,0.046989877,0.100200669,0.468957718
L-Tyrosine,0.589296376,7.208873315,3.494448935,0.081745975,0.168637856,0.484742731
unknown,0.541973895,5.309194842,2.049510219,0.102082126,0.26444069,0.386030327
L-Cystathionine,0.455723067,8.119598096,2.398590575,0.056126308,0.189996189,0.295407549
N-Nitrosodimethylamine,0.425783942,9.48742777,2.610545708,0.044878755,0.163101508,0.275158428
L-Cystathionine,0.315679726,10.77935146,3.035782153,0.029285595,0.103986291,0.281629388
Dimethylsulfoxide,0.415948261,18.52620925,2.102502554,0.022451882,0.197834842,0.113488006
L-Cystathionine,0.388685654,6.644228694,2.076439218,0.05849974,0.187188554,0.312517722
Malonic acid,0.430247557,6.662241103,2.224496002,0.064580004,0.1934135,0.333896052
unknown,0.456396086,4.364907101,1.402383805,0.104560321,0.325443067,0.32128606
L-Cystathionine,0.380781131,2.477120982,0.889340511,0.15371923,0.428161234,0.359021831
L-Cystathionine,0.516206668,2.681645688,1.953391929,0.192496224,0.264261698,0.728430284
L-Cysteine,0.359200027,2.928909894,1.008949731,0.122639494,0.356013799,0.344479608
Creatinine,0.685685246,2.052881049,0.575423206,0.334011192,1.191619036,0.280300316
Creatine,0.572377044,1.771841762,0.684461701,0.323040723,0.836244078,0.386299564
Phosphocreatine,0.639057466,6.490122843,2.2866077,0.098466159,0.279478402,0.352321174
unknown,0.527214001,4.386474633,1.557967687,0.120190824,0.338398547,0.355175355
Isocitric acid,0.54920545,3.24883824,1.1868162,0.169046721,0.462755269,0.365304799
unknown,0.5075992,3.712074529,1.402273795,0.136742729,0.361982946,0.37776014
Oxidized glutathione,0.515057038,2.112785865,0.786772121,0.243780994,0.654645767,0.372386115
L-Asparagine,0.431602074,2.416994668,0.955595612,0.178569725,0.451657656,0.395365213
Oxidized glutathione,0.480977982,1.500007693,0.531632645,0.320650343,0.904718673,0.354419946
N-Methylhydantoin,0.533306716,9.013432494,2.114352324,0.059167994,0.252231716,0.234577929
Oxidized glutathione,0.590128128,1.935038955,0.796202339,0.304969637,0.741178591,0.411465794
Oxidized glutathione,0.644717488,0.826261458,1.536374078,0.78028266,0.41963575,1.85942847
unknown,0.447819464,2.882515374,1.234758647,0.155357181,0.36267773,0.428361513
L-Asparagine,0.297013868,2.571876515,1.17674497,0.115485275,0.252402921,0.45754334
Succinylacetone,0.193768119,5.948437082,2.508550037,0.032574627,0.077243075,0.421715823
Methylguanidine,0.52839868,2.479061839,1.04429485,0.213144614,0.505986101,0.421245987
L-Aspartic acid,0.705522412,2.298350835,1.380976078,0.30696898,0.510886773,0.600855212
unknown,0.249731766,1.287641716,0.311221209,0.193945072,0.80242528,0.241698607
unknown,0.385685057,4.874696399,1.43351803,0.079119811,0.269047929,0.294073295
L-Aspartic acid,0.777465225,1.736705537,1.371924758,0.447666693,0.566696694,0.789958188
unknown,0.267345442,1.405057378,0.287216516,0.190273683,0.930815004,0.204416218
unknown,0.293706915,3.932966323,1.772290068,0.074678218,0.165721696,0.450624267
5-Aminolevulinic acid,0.698123597,2.584684537,1.150257337,0.270100117,0.606928185,0.445028134
unknown,0.538309534,5.823352051,3.285621777,0.092439806,0.163837949,0.564214862
L-Cystathionine,0.231138518,5.437604121,2.398021054,0.042507419,0.096387193,0.441006922
L-Cystathionine,0.300130066,6.576453653,2.078120165,0.045637068,0.144423826,0.315994041
Sarcosine,0.185013409,11.70064883,3.140158614,0.015812235,0.058918492,0.268374742
L-Cystathionine,0.239193908,5.381401218,2.542265776,0.044448258,0.094086901,0.472417066
unknown,0.322318389,12.02460985,3.019801813,0.026804894,0.106734948,0.251135118
unknown,0.399567878,3.159059257,1.524722554,0.126483185,0.2620594,0.482650824
Adenosine triphosphate,0.681568937,4.085148943,1.729784577,0.166840658,0.394019548,0.423432438
unknown,0.38222227,2.605072313,0.787022123,0.146722326,0.485656322,0.30211143
Citric acid,0.455332267,6.566651069,1.554602411,0.069340104,0.292893066,0.236742046
Malic acid,0.518657293,5.883745986,2.689800802,0.088150864,0.192823682,0.457157873
Citric acid,0.432367512,4.794821587,1.038659288,0.090173848,0.416274631,0.21662105
L-Methionine,0.45570882,3.60131189,1.732802903,0.12653967,0.262989414,0.481158799
Ketoleucine,0.301666365,3.36178048,1.249508245,0.089734106,0.241428071,0.371680499
Oxidized glutathione,0.457495461,2.90115707,0.8764979,0.157694137,0.521958422,0.302120112
unknown,0.392962993,2.068048517,0.754070199,0.190016332,0.521122562,0.364628872
Oxidized glutathione,0.52816182,2.603991004,0.727980578,0.20282782,0.725516361,0.2795634
unknown,0.504244719,4.629618723,1.238874664,0.108917116,0.407018348,0.267597558
Oxidized glutathione,0.536969449,3.233467695,0.906226672,0.166066125,0.592533265,0.280264644
Citric acid,0.424818927,7.756941966,2.17756088,0.054766289,0.195089345,0.280724142
Oxidized glutathione,0.510684031,5.066942858,1.880123995,0.100787407,0.271622527,0.371056877
Oxidized glutathione,0.470270805,8.160621082,2.447765476,0.05762684,0.192122493,0.299948429
Citric acid,0.387319127,16.49698279,4.747241915,0.02347818,0.081588243,0.287764252
Isocitric acid,0.412435018,10.0772195,3.743025155,0.040927462,0.110187616,0.371434318
unknown,0.363284212,2.969903867,1.351861938,0.122321876,0.268728782,0.455187103
unknown,0.356313266,3.140931436,1.31399305,0.113441911,0.271168303,0.418345028
L-Glutamine,0.429003388,2.818515063,1.132490008,0.15220901,0.378814281,0.401803781
L-Glutamine,0.450785022,2.230075912,0.994583254,0.202138869,0.453240108,0.445986277
L-Glutamine,0.421356844,2.494761351,1.003524049,0.168896654,0.419877176,0.402252524
L-Glutamine,0.496365776,2.805653473,1.085294788,0.17691628,0.457355717,0.386824245
3-Hydroxybutyric acid,0.477186623,11.10077419,3.342098375,0.042986788,0.142780544,0.301068945
3-Hydroxymethylglutaric acid,0.352848185,2.034070566,1.13112885,0.173468999,0.311943405,0.556091253
3-Hydroxybutyric acid,0.42316939,15.14921795,4.211425846,0.027933415,0.100481264,0.277996254
Succinic acid,0.486362977,14.13749223,3.579683803,0.034402352,0.135867581,0.253205006
3-Hydroxymethylglutaric acid,0.491875259,-0.995181497,0.901111197,-0.494256837,0.545854119,-0.905474228
3-Hydroxybutyric acid,0.453225477,23.65608807,6.983427251,0.019158936,0.06490015,0.295206343
L-Glutamic acid,0.689048342,2.772056422,1.397546215,0.248569378,0.493041543,0.50415504
unknown,0.632563118,8.30689794,1.432160905,0.076149138,0.441684392,0.172406224
L-Glutamic acid,0.589719167,1.287840749,0.652385253,0.457913113,0.903943129,0.506572923
L-Glutamic acid,0.628813164,2.332691835,1.057442681,0.269565467,0.594654609,0.453314349
3-Hydroxybutyric acid,0.606628835,20.97369643,6.360015031,0.028923315,0.095381667,0.303237679
L-Glutamic acid,0.59493127,-0.814418755,0.614249986,-0.730497998,0.968549098,-0.754218861
3-Hydroxybutyric acid,0.524860453,9.454146364,3.008876289,0.05551643,0.174437365,0.318259965
L-Valine,0.511307864,3.976430001,1.813654509,0.128584651,0.281921315,0.456101204
Acetoacetic acid,0.531475735,3.377648864,1.602650381,0.157350795,0.331623005,0.474486972
L-Valine,0.527850968,2.657981856,1.375260857,0.198590885,0.383818798,0.517407918
Methylglutaric acid,0.522318043,1.907942827,1.180124577,0.273759798,0.442595683,0.618532463
Acetoin,0.675635509,2.974752574,1.128276763,0.227123262,0.598820724,0.379284238
unknown,0.608302103,1.715794414,0.989476126,0.35453088,0.614771885,0.576686879
Methylglutaric acid,0.490406602,1.581521817,0.899235633,0.310085259,0.545359396,0.568588826
Aminoadipic acid,0.429448632,2.073583266,1.097132958,0.207104599,0.391428066,0.529100025
Oxidized glutathione,0.570275284,3.941711634,1.348890104,0.144677069,0.422773718,0.34220923
Oxidized glutathione,0.562454893,3.332620224,1.243684919,0.168772574,0.452248704,0.373185312
L-Glutamic acid,0.539473625,2.041165791,0.956483,0.264296818,0.564017996,0.468596428
Acetylcholine,0.550988289,1.969396715,0.860562499,0.279775164,0.64026528,0.436967571
L-Glutamic acid,0.581720902,1.387106294,0.74837678,0.419377307,0.777310198,0.539523743
S-Adenosylhomocysteine,0.59864155,1.403273971,1.311190499,0.426603473,0.456563368,0.934379548
L-Glutamic acid,0.514669294,1.660881318,0.914564922,0.309877225,0.562747686,0.550650376
